,Accuracy,Precision,Recall,F1-Score,AUC
Random Undersampling,0.6153846153846154,0.7833164406443759,0.6153846153846154,0.6379336349924586,0.8228264503872649
Random Oversampling,0.8307692307692308,0.8460863697705803,0.8307692307692308,0.8325807525807526,0.9489224709716514
SMOTE,0.8307692307692308,0.838428093645485,0.8307692307692308,0.8306115377250808,0.9366691641691641
Tomek Links,0.7846153846153846,0.7881002331002332,0.7846153846153846,0.7735955272797379,0.9250052406609783
Class Weights,0.8307692307692308,0.8396153846153847,0.8307692307692308,0.8266332937468368,0.946443720214212
